Number;Document;car_к161ор152;car_к930рт152;car_н378ое152;car_н450нр152;car_н629вр797;car_н782вр797;car_н804ок152;car_о353ет152;car_р153рк152;car_р157рк152;car_р160рк152;car_р186рк152;car_р215рк152;car_р283вм797;car_р285вм797;car_р545тс152;car_р671хс152;car_с668хн152;car_т037вс797;car_т083км152;car_т132ер152;car_т160ау152;car_т195ем152;car_т287ее152;car_т553вр797;car_т723нх797;car_т725нх797;car_т871тв152;car_у718вт797;car_у996вн797;car_х049вт797;car_х055вт797;car_х431вс797;car_х440вм797;car_х449вм797;car_х585вс797
1;Имеется ответственный за обеспечение безопасности дорожного движения, прошедший аттестацию на право заниматься соответствующей деятельностью. Приказ (распоряжение) о его назначении в наличии.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
2;Журнал учета инструктажа водителей в наличии и ведется.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
3;Инструктажи водителей транспортных средств (вводные, предрейсовые, сезонные, специальные) проводятся.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
4;Журнал учета дорожно-транспортных происшествий в наличии и ведется.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
5;Ежегодный план мероприятий по предупреждению ДТП и материалы по его выполнению и анализу причин и условий, способствовавших возникновению ДТП с участием эксплуатируемых транспортных средств, ведется.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
6;Работники организаций соответствуют профессиональным и квалификационным требованиям, предъявляемым при осуществлении перевозок.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
7;Предсменные, предрейсовые, послесменные, послерейсовые* медицинские осмотры водителей проводятся (соответствующие отметки в журнале медицинского осмотра и путевых листах имеются).;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
8;Режим труда и отдыха водителей (согласно сведениям, имеющимся в путевых листах, а также данных, полученных с тахографов) соблюдается.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
9;Документы о назначении на должность или о наделении должностного лица соответствующими обязанностями контролера технического состояния транспортных средств в наличии.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
10;Предрейсовый контроль технического состояния транспортных средств до их выезда с места постоянной стоянки организован и проводится.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
11;Журнал регистрации результатов предрейсового контроля ведется и содержит следующие реквизиты.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
12;Водительское удостоверение;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Свидетельство о регистрации транспортного средства;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
14;Страховой полис обязательного страхования гражданской ответственности;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
15;Путевой лист;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Документы на перевозимый груз (если требуется);Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
17;Разрешение на перевозку груза (если требуется);Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
18;Свидетельство об обучении правилам перевозки опасных грузов (ДОПОГ) (если требуется);Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
19;Передние левый и правый ходовые фонари в рабочем состоянии;Не применимо;Нет;Нет;Не применимо;Не применимо;Нет;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Не применимо;Нет;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Да
20;Передние левый и правый индикаторы поворота в рабочем состоянии;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
21;Задние левый и правый фонари в рабочем состоянии;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
22;Задний левый и правый индикаторы поворота в рабочем состоянии;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
23;Задний фонарь заднего хода в рабочем состоянии;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
24;Лобовое стекло без трещин и сколов;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
25;Передний капот и бампер без повреждений;Нет;Да;Нет;Нет;Нет;Да;Нет;Да;Да;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Нет;Нет;Да
26;Передний номерной знак на месте, чистый, без повреждений;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
27;Левые зеркала регулируемые и без повреждений. Обзорность хорошая;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет
28;Левое крыло без повреждений;Нет;Нет;Нет;Нет;Нет;Да;Нет;Да;Нет;Нет;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Да;Да;Нет;Нет;Да
29;Левая дверь без повреждений;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
30;Левая сторона автомобиля без повреждений;Нет;Да;Нет;Нет;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
31;Левые боковые окна без трещин и сколов;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
32;Заднее стекло без трещин и сколов;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
33;Задняя часть автомобиля и бампер без повреждений;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
34;Задний номерной знак на месте, чистый, без повреждений;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
35;Правые зеркала регулируемые и без повреждений. Обзорность хорошая;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет
36;Правое крыло без повреждений;Нет;Нет;Нет;Нет;Нет;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Нет;Нет;Да;Нет;Нет
37;Правая дверь без повреждений;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да
38;Правая сторона автомобиля без повреждений;Нет;Да;Нет;Нет;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
39;Правые боковые окна без трещин и сколов;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
40;Автомобиль чистый и без дорожной грязи;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
41;Рекомендуемое давление в шинах;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
42;Шины в исправном состоянии без видимых признаков износа или трещин;Нет;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да
43;Имеется запасная шина без видимых признаков износа или трещин;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Да;Нет;Да;Нет;Нет;Да;Да;Нет;Нет;Нет;Да;Нет;Да;Нет;Нет;Да;Нет;Нет;Да
44;Сиденье водителя в хорошем состоянии;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
45;Ремень безопасности водителя имеется и исправен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
46;Ремни безопасности пассажиров имеются и исправны;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
47;Пассажирские места в хорошем состоянии;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
48;Звуковой сигнал автомобиля работает;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
49;Стеклоочистители/щетки и стеклоомыватели имеются и работают надлежащим образом;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
50;Панель приборов функционирует надлежащим образом;Нет;Нет;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
51;Кондиционер / обогреватель работает;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
52;Подсветка приборной панели в рабочем состоянии;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
53;Все датчики работают и показывают в соответствующих диапазонах;Да;Нет;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да
54;Радио в рабочем состоянии;Не применимо;Не применимо;Не применимо;Да;Не применимо;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Да;Да;Не применимо;Не применимо;Не применимо;Да;Не применимо;Да;Не применимо;Не применимо;Не применимо;Да;Не применимо;Не применимо;Да;Не применимо;Не применимо;Не применимо;Не применимо;Да;Не применимо;Не применимо;Да
55;Подсветка салона в рабочем состоянии;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
56;Наличие необходимых жидкостей: масло, антифриз и тд.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
57;Интерьер чист, незакрепленные предметы отсутствуют;Нет;Нет;Нет;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
58;Аптечка. Надежно установленный комплект первой помощи (убедитесь, что он полностью укомплектован);Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
59;Треугольники безопасности на шоссе имеются;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
60;Противооткатные упоры;Нет;Да;Нет;Нет;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Нет;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Нет
61;Огнетушитель заряжен и проверен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
62;Тросы, запасная шина, домкрат, инструменты имеются;Нет;Да;Нет;Нет;Нет;Да;Нет;Нет;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Нет;Да;Нет;Нет;Нет;Нет;Да;Нет;Нет;Да
63;Светоотражающий жилет;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
64;Передний видеорегистратор имеется и исправен;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да
65;Задний видеорегистратор имеется и исправен;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да
66;Камера заднего хода имеется и справна;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да
67;Звуковой сигнал при движении транспортного средства задним ходом имеется и работает;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Да;Нет;Нет;Нет;Нет;Нет
68;ДУТ имеется и исправен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Да