Number;Document;car_Scania С450АР;car_Камаз С613АР;car_Scania Р848СВ;car_Scania Р836СВ;car_man Р417ТК;car_Камаз р291вс;car_Volvo р400тв;car_Volvo с046ам;car_Volvo р140ун;car_Камаз р254уу;car_Volvo р572тв;car_камаз р775уу;car_камаз т261нт;car_камаз т525тн;car_scania р828св;car_scania р239вм 797;car_камаз т749нх;car_man р406тк;car_scania т971ам;car_scania т975нр;car_volvo р393тв;car_scania о362вм797;car_volvo р577тв;car_scania р831св;car_scania р810св;car_камаз н931он;car_scania м402мо;car_scania с288вх;car_scania о445ем;car_scania o926ун;car_scania о752хс;car_луидор е862нр;car_газель о277хх;car_камаз с811св;car_камаз с888вх;car_камаз с725св;car_камаз т517нт;car_камаз т972нр;car_камаз с312нк;car_камаз т146ау;car_камаз т038ем;car_камаз т120ее;car_камаз р717тк;car_камаз р449тк;car_камаз р216тк;car_камаз р706тк;car_камаз р448тк;car_камаз с849ам;car_камаз с807св;car_камаз р429тк;car_камаз р425тк;car_камаз р421тк;car_камаз р433тк;car_камаз т957ам;car_камаз р440тк;car_камаз т989ам;car_камаз т933тв;car_камаз к328ва;car_камаз о881ес;car_scania о281ну;car_scania с288вх (повтор);car_Камаз с057ас;car_Камаз с054ас;car_Камаз н275но;car_Камаз с849ам;car_Камаз м669не;car_Камаз к198от;car_Камаз с029ам;car_Камаз с782св;car_Камаз т039ем;car_Камаз т072вк;car_Камаз т969нр;car_Камаз а473еа;car_Камаз к490нв;car_Камаз е809уо;car_Камаз с433ар;car_Камаз н282кк;car_Камаз е171тн;car_Камаз м212ру;car_Камаз е915мт;car_Камаз т908тн;car_Камаз т962тн;car_Камаз т974тн;car_Камаз т471то;car_УАЗ м741вм;car_Mitsubishi а075со;car_прицеп НЕ1883;car_прицеп ВА7062/52;car_KIA Mohave Х382ЕМ;car_KIA RIO с815хе;car_МТЗ НЕ1885;car_МТЗ НЕ1889;car_МТЗ НЕ1892;car_МТЗ НЕ 1893;car_Амкодор НЕ1884;car_Амкодор НЕ1890;car_Амкодор НЕ1891;car_SDLG НЕ4516
32;Заднее стекло без трещин и сколов;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Да;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
33;Задняя часть автомобиля и бампер без повреждений;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Нет;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
34;Задний номерной знак на месте, чистый, без повреждений;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
35;Правые зеркала регулируемые и без повреждений. Обзорность хорошая;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
36;Правое крыло без повреждений;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Нет;Нет;Да;Да;Нет;Нет;Да;Да;Нет;Нет;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Нет;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Нет;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
37;Правая дверь без повреждений;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
38;Правая сторона автомобиля без повреждений;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Нет;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
39;Правые боковые окна без трещин и сколов;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
40;Автомобиль чистый и без дорожной грязи;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
41;Рекомендуемое давление в шинах;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
42;Шины в исправном состоянии без видимых признаков износа или трещин;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
43;Имеется запасная шина без видимых признаков износа или трещин;Да;Да;Да;Нет;Да;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Да;Нет;Да;Да;Да;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Не применимо;Нет;Нет;Нет;Не применимо;Нет;Нет;Нет;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
44;Сиденье водителя в хорошем состоянии;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Нет;Да;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Нет;Да;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Не применимо;Нет;Да;Да;Не применимо;Нет;Нет;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
45;Ремень безопасности водителя имеется и исправен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
46;Ремни безопасности пассажиров имеются и исправны;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
47;Пассажирские места в хорошем состоянии;Да;Нет;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Нет;Да;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Да;Нет;Нет;Да;Да;Нет;Нет;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Нет;Нет;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
48;Звуковой сигнал автомобиля работает;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
49;Стеклоочистители/щетки и стеклоомыватели имеются и работают надлежащим образом;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
50;Панель приборов функционирует надлежащим образом;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
51;Кондиционер / обогреватель работает;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
52;Подсветка приборной панели в рабочем состоянии;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
53;Все датчики работают и показывают в соответствующих диапазонах;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
54;Радио в рабочем состоянии;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Не применимо;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Да;Не применимо;Не применимо;Не применимо;Не применимо;Да;Не применимо;Нет;Нет;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Да;Не применимо;Не применимо;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Да;Не применимо;Не применимо;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
55;Подсветка салона в рабочем состоянии;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
56;Наличие необходимых жидкостей: масло, антифриз и тд.;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
57;Интерьер чист, незакрепленные предметы отсутствуют;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
58;Аптечка. Надежно установленный комплект первой помощи (убедитесь, что он полностью укомплектован);Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
59;Треугольники безопасности на шоссе имеются;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
60;Противооткатные упоры;Да;Да;Да;Да;Да;Нет;Да;Нет;Нет;Да;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Нет;Да;Да;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да
61;Огнетушитель заряжен и проверен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
62;Тросы, запасная шина, домкрат, инструменты имеются;Да;Да;Нет;Да;Да;Нет;Нет;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Нет;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да;Нет;Нет;Нет;Да;Да;Да;Да;Да;Нет;Нет;Нет;Да;Да;Нет;Нет;Да;Нет;Нет;Нет;Да;Да;Нет;Да;Да;Да;Да;Нет;Да;Не применимо;Нет;Нет;Нет ;Не применимо;Нет;Нет;Да;Да;Не применимо;Да;Да;Да;Да;Да;Нет;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
63;Светоотражающий жилет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Да;Не применимо;Не применимо;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
64;Передний видеорегистратор имеется и исправен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Нет;Не применимо;Не применимо;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
65;Задний видеорегистратор имеется и исправен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Нет;Не применимо;Не применимо;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
66;Камера заднего хода имеется и справна;Да;Да;Да;Нет;Да;Да;Да;Нет;Нет;Да;Нет;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Нет;Не применимо;Не применимо;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
67;Звуковой сигнал при движении транспортного средства задним ходом имеется и работает;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Да;Нет;Нет;Не применимо;Нет;Не применимо;Да;Да;Не применимо;Не применимо;Да;Не применимо;Да;Не применимо;Да;Не применимо;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Нет;Не применимо;Не применимо;Да;Да;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо;Не применимо
68;ДУТ имеется и исправен;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Не применимо;Да;Да;Да;Не применимо;Да;Да;Да;Да;Не применимо;Да;Да;Да;Да;Да;Да;Не применимо;Не применимо;Не применимо;Да;Да;Да;Да;Не применимо;Нет;Не применимо;Не применимо;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет